"category","result.status","result.error.code","protectionPolicy.name","asset.type","Count"
"CONFIG","FAILED","ABV0025","Virtual Machines -Crash consistent -Test PLC","VMWARE_VIRTUAL_MACHINE","2"
"CONFIG","FAILED","ASDS0030","Exchange Backups - TEST PLC","MICROSOFT_EXCHANGE_DATABASE","4"
"PROTECT","FAILED","ABA0002","Filesystem Backups -TEST PLC","FILE_SYSTEM","2"
"PROTECT","FAILED","ABF0001","Filesystem Backups -TEST PLC","FILE_SYSTEM","3"
"PROTECT","FAILED","ABNA0020","NAS Backups - TEST PLC","NAS_SHARE","4"
"PROTECT","FAILED","ABV0009","Virtual Machines -Crash consistent -Test PLC","VMWARE_VIRTUAL_MACHINE","1"
"PROTECT","FAILED","ABV0016","Virtual Machines -Crash consistent -Test PLC","VMWARE_VIRTUAL_MACHINE","4"
"PROTECT","FAILED","ABV0025","Virtual Machines -Crash consistent -Test PLC","VMWARE_VIRTUAL_MACHINE","2"
"PROTECT","FAILED","AERR0019","Virtual Machines -Crash consistent -Test PLC","VMWARE_VIRTUAL_MACHINE","5"
"PROTECT","SKIPPED","AERR0004","NAS Backups - TEST PLC","NAS_SHARE","0"
"PROTECT","UNKNOWN","ABA0023","Exchange Backups - TEST PLC","MICROSOFT_EXCHANGE_DATABASE","5"
