"category","result.status","result.error.code","protectionPolicy.name","asset.type","Count"
"PROTECT","CANCELED","AERR0010","FS - Opale-Prod-Aisave","FILE_SYSTEM","1"
"PROTECT","FAILED","ABA0001","FS - FileSystem - 7 Days - Daily - Index","FILE_SYSTEM","1"
"PROTECT","FAILED","ABN0008","NAS - 5 Years - Apps","NAS_SHARE","1"
"PROTECT","FAILED","ABNA0019","NAS - 5 Years - Apps","NAS_SHARE","0"
"PROTECT","FAILED","ABO0041","Oracle - CRS","ORACLE_DATABASE","4"
"PROTECT","SKIPPED","AERR0004","NAS - 5 Years - Apps","NAS_SHARE","0"
"REPLICATE","SKIPPED","AERR0004","FS - FileSystem - 7 Days - Daily - Index","FILE_SYSTEM","1"
"REPLICATE","SKIPPED","AERR0004","FS - Opale-Prod-Aisave","FILE_SYSTEM","1"
"REPLICATE","SKIPPED","AERR0004","MSSQL - CMS","MICROSOFT_SQL_DATABASE","3"
"REPLICATE","SKIPPED","AERR0004","MSSQL - CRS","MICROSOFT_SQL_DATABASE","2"
"REPLICATE","SKIPPED","AERR0004","MSSQL - OVS","MICROSOFT_SQL_DATABASE","13"
"REPLICATE","SKIPPED","AERR0004","MSSQL - Standard","MICROSOFT_SQL_DATABASE","18"
"REPLICATE","SKIPPED","AERR0004","NAS - 5 Years - Apps","NAS_SHARE","1"
"REPLICATE","SKIPPED","AERR0004","Oracle - CRS","ORACLE_DATABASE","8"
