"category","result.status","result.error.code","protectionPolicy.name","Count"
"CONFIG","FAILED","ABV0025","Virtual Machines -Crash consistent -Test PLC","0"
"PROTECT","FAILED","ABA0002","Filesystem Backups -TEST PLC","3"
"PROTECT","FAILED","ABA0002","SQL Backups -TEST PLC","3"
"PROTECT","FAILED","ABK0018","Kubernetes Backups - TEST PLC","0"
"PROTECT","FAILED","ABNA0013","NAS Backups - TEST PLC","0"
"PROTECT","FAILED","ABNA0020","NAS Backups - TEST PLC","0"
"PROTECT","FAILED","ABV0025","Virtual Machines -Crash consistent -Test PLC","0"
"PROTECT","FAILED","ABV0026","Virtual Machines -Crash consistent -Test PLC","2"
"PROTECT","FAILED","AERR0019","Virtual Machines -Crash consistent -Test PLC","0"
"PROTECT","SKIPPED","AERR0004","NAS Backups - TEST PLC","0"
"PROTECT","UNKNOWN","ABA0023","Exchange Backups - TEST PLC","1"
