"category","result.status","result.error.code","protectionPolicy.name","Count"
"PROTECT","CANCELED","AERR0010","FS - Opale-Prod-Aisave","1"
"PROTECT","FAILED","ABA0001","FS - FileSystem - 7 Days - Daily - Index","2"
"PROTECT","FAILED","ABN0008","NAS - 5 Years - Apps","0"
"PROTECT","FAILED","ABNA0019","NAS - 5 Years - Apps","0"
"PROTECT","FAILED","ABO0041","Oracle - CRS","1"
"PROTECT","FAILED","ABO0043","Oracle - CRS","1"
"PROTECT","SKIPPED","ABS0003","MSSQL - CMS","2"
"PROTECT","SKIPPED","ABS0003","MSSQL - CRS","2"
"PROTECT","SKIPPED","ABS0003","MSSQL - OVS","2"
"PROTECT","SKIPPED","ABS0003","MSSQL - Standard","6"
"PROTECT","SKIPPED","AERR0004","NAS - 5 Years - Apps","0"
"REPLICATE","SKIPPED","AERR0004","FS - FileSystem - 7 Days - Daily - Index","2"
"REPLICATE","SKIPPED","AERR0004","FS - Opale-Prod-Aisave","1"
"REPLICATE","SKIPPED","AERR0004","MSSQL - CMS","2"
"REPLICATE","SKIPPED","AERR0004","MSSQL - CRS","2"
"REPLICATE","SKIPPED","AERR0004","MSSQL - OVS","2"
"REPLICATE","SKIPPED","AERR0004","MSSQL - Standard","6"
"REPLICATE","SKIPPED","AERR0004","NAS - 5 Years - Apps","0"
"REPLICATE","SKIPPED","AERR0004","Oracle - CRS","2"
