"category","result.status","protectionPolicy.name","result.error.code","host.name","asset.name","inventorySource.type","result.error.reason","result.error.extendedReason","result.error.detailedDescription","result.error.remediation"
"CONFIG","FAILED","Exchange Backups - TEST PLC","ASDS0030","exchange.demo.local","Mailbox Database 0597205983","","Unable to configure the policy because of an error on the application agent.","","Configuration of this protection policy cannot be completed because an error occurred on the application agent host.","To resolve this issue:  ..  1. Delete the files in the following directories:  ..  On Windows, \INSTALL_DIR\AGENTSERVICECONFIG.  ..  On Linux and AIX, /opt/dpsapps/agentsvc/config.  ..  2. In the PowerProtect Data Manager UI, go to Protection > Protection Policies, select this policy, and click Set Lockbox.  ..  If the issue persists, contact Dell Customer Support."
"CONFIG","FAILED","Exchange Backups - TEST PLC","ASDS0030","exchange.demo.local","Test_DB_001","","Unable to configure the policy because of an error on the application agent.","","Configuration of this protection policy cannot be completed because an error occurred on the application agent host.","To resolve this issue:  ..  1. Delete the files in the following directories:  ..  On Windows, \INSTALL_DIR\AGENTSERVICECONFIG.  ..  On Linux and AIX, /opt/dpsapps/agentsvc/config.  ..  2. In the PowerProtect Data Manager UI, go to Protection > Protection Policies, select this policy, and click Set Lockbox.  ..  If the issue persists, contact Dell Customer Support."
"CONFIG","FAILED","Exchange Backups - TEST PLC","ASDS0030","exchange.demo.local","Test_DB_002","","Unable to configure the policy because of an error on the application agent.","","Configuration of this protection policy cannot be completed because an error occurred on the application agent host.","To resolve this issue:  ..  1. Delete the files in the following directories:  ..  On Windows, \INSTALL_DIR\AGENTSERVICECONFIG.  ..  On Linux and AIX, /opt/dpsapps/agentsvc/config.  ..  2. In the PowerProtect Data Manager UI, go to Protection > Protection Policies, select this policy, and click Set Lockbox.  ..  If the issue persists, contact Dell Customer Support."
"CONFIG","FAILED","Exchange Backups - TEST PLC","ASDS0030","exchange.demo.local","Test_DB_003","","Unable to configure the policy because of an error on the application agent.","","Configuration of this protection policy cannot be completed because an error occurred on the application agent host.","To resolve this issue:  ..  1. Delete the files in the following directories:  ..  On Windows, \INSTALL_DIR\AGENTSERVICECONFIG.  ..  On Linux and AIX, /opt/dpsapps/agentsvc/config.  ..  2. In the PowerProtect Data Manager UI, go to Protection > Protection Policies, select this policy, and click Set Lockbox.  ..  If the issue persists, contact Dell Customer Support."
"CONFIG","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0025","","win-10","","VM Direct engine is unable to configure protection for the virtual machine 'win-10' on vCenter 'VCenter'.","Unable to configure protection for the asset because SCSI sharing and is not supported.","The VM Direct engine cannot complete protection of this virtual machine because the protection configuration was unsuccessful.","Review the error details and summary log in the Jobs window, or export the job logs and review the log files for more information. If the issue persists, contact Dell Customer Support."
"CONFIG","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0025","","win-10","VCENTER","VM Direct engine is unable to configure protection for the virtual machine 'win-10' on vCenter 'VCenter'.","Unable to configure protection for the asset because SCSI sharing and is not supported.","The VM Direct engine cannot complete protection of this virtual machine because the protection configuration was unsuccessful.","Review the error details and summary log in the Jobs window, or export the job logs and review the log files for more information. If the issue persists, contact Dell Customer Support."
"CONFIG","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0025","","win-11","","VM Direct engine is unable to configure protection for the virtual machine 'win-11' on vCenter 'VCenter'.","Unable to configure protection for the asset because SCSI sharing and is not supported.","The VM Direct engine cannot complete protection of this virtual machine because the protection configuration was unsuccessful.","Review the error details and summary log in the Jobs window, or export the job logs and review the log files for more information. If the issue persists, contact Dell Customer Support."
"CONFIG","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0025","","win-11","VCENTER","VM Direct engine is unable to configure protection for the virtual machine 'win-11' on vCenter 'VCenter'.","Unable to configure protection for the asset because SCSI sharing and is not supported.","The VM Direct engine cannot complete protection of this virtual machine because the protection configuration was unsuccessful.","Review the error details and summary log in the Jobs window, or export the job logs and review the log files for more information. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Filesystem Backups -TEST PLC","ABA0002","win-01.demo.local","DISASTER_RECOVERY:\","","Filesystem Backups -TEST PLC: Unable to backup FILE_SYSTEM asset DISASTER_RECOVERY:\ on host win-01.demo.local to storage target Filesystem_Backups_-TEST_PLC-ppdm-01-b89b3 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: SQLite database initialization failed.","The protection policy backup was unsuccessful because of an agent issue.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","Filesystem Backups -TEST PLC","ABA0002","win-11.demo.local","C:\","","Filesystem Backups -TEST PLC: Unable to backup FILE_SYSTEM asset C:\ on host win-11.demo.local to storage target Filesystem_Backups_-TEST_PLC-ppdm-01-b89b3 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: SQLite database initialization failed.","The protection policy backup was unsuccessful because of an agent issue.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","Filesystem Backups -TEST PLC","ABF0001","win-01.demo.local","C:\","","Unable to protect the asset C:\ on the host win-01.demo.local from the backup performed at time 1/1/1970 12:00:00 AM because the following error occurred: Unable to perform block-based backup for saveset: C:\..","","The backup for this asset cannot be completed because an error occurred.","Click export log, check the export logs from PowerProtect Data Manager and review the log file for more details. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Filesystem Backups -TEST PLC","ABF0001","win-01.demo.local","E:\","","Unable to protect the asset E:\ on the host win-01.demo.local from the backup performed at time 1/1/1970 12:00:00 AM because the following error occurred: Unable to perform block-based backup for saveset: E:\..","","The backup for this asset cannot be completed because an error occurred.","Click export log, check the export logs from PowerProtect Data Manager and review the log file for more details. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Filesystem Backups -TEST PLC","ABF0001","win-10.demo.local","DISASTER_RECOVERY:\","","Unable to protect the asset DISASTER_RECOVERY:\ on the host win-10.demo.local from the backup performed at time 1732015123 because the following error occurred: DD write failure result code: 5175, description: Out of space.","","The backup for this asset cannot be completed because an error occurred.","Click export log, check the export logs from PowerProtect Data Manager and review the log file for more details. If the issue persists, contact Dell Customer Support."
