"category","protectionPolicy.name","result.status","result.error.code","host.count","host.assets"
"PROTECT","MSSQL - CMS","SKIPPED","ABS0003","1","3"
"PROTECT","MSSQL - CRS","SKIPPED","ABS0003","2","2"
"PROTECT","MSSQL - OVS","SKIPPED","ABS0003","2","22"
"PROTECT","MSSQL - Standard","SKIPPED","ABS0003","6","23"
"PROTECT","NAS - 5 Years - Apps","SKIPPED","AERR0004","0",""
"REPLICATE","FS - FileSystem - 7 Days - Daily - Index","SKIPPED","AERR0004","3","3"
"REPLICATE","FS - Opale-Prod-Aisave","SKIPPED","AERR0004","1","1"
"REPLICATE","MSSQL - CMS","SKIPPED","AERR0004","1","3"
"REPLICATE","MSSQL - CRS","SKIPPED","AERR0004","2","2"
"REPLICATE","MSSQL - OVS","SKIPPED","AERR0004","2","22"
"REPLICATE","MSSQL - Standard","SKIPPED","AERR0004","8","27"
"REPLICATE","NAS - 5 Years - Apps","SKIPPED","AERR0004","0",""
"REPLICATE","Oracle - CRS","SKIPPED","AERR0004","2","6"
