"category","protectionPolicy.name","result.status","result.error.code","occurrence","host.name","asset.name","result.error.reason","result.error.extendedReason","result.error.detailedDescription","result.error.remediation"
"CLOUD_TIER","MSSQL - Standard","FAILED","ACT0011","5","(empty)","SSISDB","MSSQL - Standard: Cloud tier job was unsuccessful for MICROSOFT_SQL_DATABASE SSISDB on dcb3-200-dd01.rsvgnw.local to PPDMDDCTIER because one or more files from the copy created at 2024-07-06T20:02:32Z cannot be detected.","file: PLCTLP-26398496-58d3-4683-841e-443283349df4/vmprddbs32a.rsvgnw.local/14/2.0/data_ss/MSSQL2%24INSTANCE1%3aSSISDB/FULL/_ts10k_172029/1720296151.ss was not found on storageUnitName: MSSQL-noCRS","The backup copy cannot be cloud tiered because PowerProtect Data Manager is unable to locate one or more files from the copy on the storage system. These files might have been modified or deleted from the copy.","Follow the procedure in the PowerProtect Data Manager Administration and User Guide to create a log bundle, and then contact Dell Customer Support."
"CLOUD_TIER","MSSQL - Standard","FAILED","ACT0011","5","(empty)","SSISDB","MSSQL - Standard: Cloud tier job was unsuccessful for MICROSOFT_SQL_DATABASE SSISDB on dcm4-200-dd02.rsvgnw.local to n/a because one or more files from the copy created at 2024-07-06T20:02:32Z cannot be detected.","file: PLCTLP-26398496-58d3-4683-841e-443283349df4/vmprddbs32a.rsvgnw.local/14/2.0/data_ss/MSSQL2%24INSTANCE1%3aSSISDB/FULL/_ts10k_172029/1720296151.ss was not found on storageUnitName: MSSQL-noCRS-DR","The backup copy cannot be cloud tiered because PowerProtect Data Manager is unable to locate one or more files from the copy on the storage system. These files might have been modified or deleted from the copy.","Follow the procedure in the PowerProtect Data Manager Administration and User Guide to create a log bundle, and then contact Dell Customer Support."
"CLOUD_TIER","MSSQL - Standard","FAILED","ACT0011","1","vmprddbs32a.rsvgnw.local","SSISDB","MSSQL - Standard: Cloud tier job was unsuccessful for MICROSOFT_SQL_DATABASE SSISDB on dcb3-200-dd01.rsvgnw.local to PPDMDDCTIER because one or more files from the copy created at 2024-07-06T20:02:32Z cannot be detected.","file: PLCTLP-26398496-58d3-4683-841e-443283349df4/vmprddbs32a.rsvgnw.local/14/2.0/data_ss/MSSQL2%24INSTANCE1%3aSSISDB/FULL/_ts10k_172029/1720296151.ss was not found on storageUnitName: MSSQL-noCRS","The backup copy cannot be cloud tiered because PowerProtect Data Manager is unable to locate one or more files from the copy on the storage system. These files might have been modified or deleted from the copy.","Follow the procedure in the PowerProtect Data Manager Administration and User Guide to create a log bundle, and then contact Dell Customer Support."
"CLOUD_TIER","MSSQL - Standard","FAILED","ACT0011","1","vmprddbs32a.rsvgnw.local","SSISDB","MSSQL - Standard: Cloud tier job was unsuccessful for MICROSOFT_SQL_DATABASE SSISDB on dcm4-200-dd02.rsvgnw.local to n/a because one or more files from the copy created at 2024-07-06T20:02:32Z cannot be detected.","file: PLCTLP-26398496-58d3-4683-841e-443283349df4/vmprddbs32a.rsvgnw.local/14/2.0/data_ss/MSSQL2%24INSTANCE1%3aSSISDB/FULL/_ts10k_172029/1720296151.ss was not found on storageUnitName: MSSQL-noCRS-DR","The backup copy cannot be cloud tiered because PowerProtect Data Manager is unable to locate one or more files from the copy on the storage system. These files might have been modified or deleted from the copy.","Follow the procedure in the PowerProtect Data Manager Administration and User Guide to create a log bundle, and then contact Dell Customer Support."
"INDEX","vCenterHVS - CRS","FAILED","SYS0207","1","(empty)","vmprdpepdb01","Search indexing job failed. Error - Long Running Job Terminated.","(empty)","(empty)","If the issue persists, contact Dell customer support."
"PROTECT","FS - FileSystem - 7 Days - Daily - Index","CANCELED","AERR0005","1","VMPRDFS12.rsvgnw.local","C:\","Task Protecting File System - C:\ - VMPRDFS12.rsvgnw.local was canceled because it was overdue.","(empty)","Task (and Job) was canceled because it was overdue before being able to be executed.","Ensure that the activity windows defined in the protection policy schedule are sufficient to accommodate the job."
"PROTECT","FS - FileSystem - 7 Days - Daily - Index","FAILED","ABA0001","1","VMPRDQCA05A.rsvgnw.local","D:\","FS - FileSystem - 7 Days - Daily - Index: Unable to backup FILE_SYSTEM asset D:\ on host VMPRDQCA05A.rsvgnw.local to storage target FS-noCRS.","VMPRDQCA05A.rsvgnw.local: The protection policy backup was unsuccessful because the preferred node cannot be located for the following assets : D:\.","The protection policy backup was unsuccessful.","Contact Dell Customer Support."
"PROTECT","FS - FileSystem - 7 Days - Daily - Index","FAILED","ABA0001","1","VMPRDQCA06A.rsvgnw.local","D:\","FS - FileSystem - 7 Days - Daily - Index: Unable to backup FILE_SYSTEM asset D:\ on host VMPRDQCA06A.rsvgnw.local to storage target FS-noCRS.","VMPRDQCA06A.rsvgnw.local: The protection policy backup was unsuccessful because the preferred node cannot be located for the following assets : D:\.","The protection policy backup was unsuccessful.","Contact Dell Customer Support."
"PROTECT","FS - FileSystem - 7 Days - Daily - NoIndex (ClusterNodes B)","CANCELED","AERR0005","1","VMPRDFS12.rsvgnw.local","DISASTER_RECOVERY:\","Task Protecting File System - DISASTER_RECOVERY:\ - VMPRDFS12.rsvgnw.local was canceled because it was overdue.","(empty)","Task (and Job) was canceled because it was overdue before being able to be executed.","Ensure that the activity windows defined in the protection policy schedule are sufficient to accommodate the job."
"PROTECT","FS - Opale-Prod-Aisave","CANCELED","AERR0010","6","opale-prod-db.rsvgnw.local","/ordi/hop/data/aisave","Task 'Protecting File System - /ordi/hop/data/aisave - opale-prod-db.rsvgnw.local' was canceled because an identical task was still queued.","(empty)","Task was canceled because an identical task was still under queued state.","To troubleshoot this issue: 1) Review the log files to determine why the previous task is still in queued state. 2) Wait for the previous task to complete, and then retry the operation. If the issue persists, contact Dell Customer Support."
